product,review_original,source,review_date,original_rating,review_en,rating,threat_category
The WORST Skincare Products #shorts,"everything that seemed to work for me they took off shelves like that lemon zesty scrub he showed by clean and clear! they actually had a face wash that worked wonders and removed dark marks and more! also, they use to have ambi with the hydroquinone that they removed and that pair was amazing!!!!!!!! i’m very disappointed it’s like they do it on purpose!!!",YouTube,,,"everything that seemed to work for me they took off shelves like that lemon zesty scrub he showed by clean and clear! they actually had a face wash that worked wonders and removed dark marks and more! also, they use to have ambi with the hydroquinone that they removed and that pair was amazing!!!!!!!! i’m very disappointed it’s like they do it on purpose!!!",4.0,Neutral/Positive
The WORST Skincare Products #shorts,"btw you will not feel moisturized after using this, the video maker will lie to you 😂",YouTube,,,"btw you will not feel moisturized after using this, the video maker will lie to you 😂",3.0,Neutral/Positive
The WORST Skincare Products #shorts,please i need your help and advice i’ have used a face mask and now i have chemical burns with severe hypopigmentation and irritation . this has been devastating for me . the company doesn’t reach out . this company has no warning labels and had a law suit in 2024 for cancer causing and carcinogens . not safe for sensitive skin and i have never had skin issues . what should i do to relieve this . i have videos of the product and what i’m going through 😢😢,YouTube,,,please i need your help and advice i’ have used a face mask and now i have chemical burns with severe hypopigmentation and irritation . this has been devastating for me . the company doesn’t reach out . this company has no warning labels and had a law suit in 2024 for cancer causing and carcinogens . not safe for sensitive skin and i have never had skin issues . what should i do to relieve this . i have videos of the product and what i’m going through 😢😢,2.0,Neutral/Positive
The WORST Skincare Products #shorts,those lemon pads worked wonders for me..  and then they discontinued it....,YouTube,,,those lemon pads worked wonders for me..  and then they discontinued it....,3.0,Neutral/Positive
The WORST Skincare Products #shorts,love that you’re reacting to lotr! but this looks like such an uncomfortable way to enjoy a long movie 😩 these movies need a comfy couch with all the lights off and a good snack!,YouTube,,,love that you’re reacting to lotr! but this looks like such an uncomfortable way to enjoy a long movie 😩 these movies need a comfy couch with all the lights off and a good snack!,4.0,Neutral/Positive
The WORST Skincare Products #shorts,that black mask is ass!!,YouTube,,,that black mask is ass!!,2.0,Neutral/Positive
The WORST Skincare Products #shorts,i regret to use facemask now im insecure to go outside🥲😅,YouTube,,,i regret to use facemask now im insecure to go outside🥲😅,1.0,Neutral/Positive
The WORST Skincare Products #shorts,all these products i used as a kid and oh my god. the burn. the pain. the acneeee,YouTube,,,all these products i used as a kid and oh my god. the burn. the pain. the acneeee,3.0,Neutral/Positive
The WORST Skincare Products #shorts,"what about the good beauty by meg kilcup, ??",YouTube,,,"what about the good beauty by meg kilcup, ??",5.0,Neutral/Positive
KIKO MILANO HUG COUTURE: Recensione completa,"ciao anna, anche io ho acquistato il blush nel pottino n.1, mi piace molto, utilizzo l'applicatore per metterlo sulle guance e poi lo sfumo con le mani, forse è un fatto igienico non dover mettere le dita dentro al pot, non lo utilizzo sulle labbra, poi ho acquistato il nuovo fondotinta love fusion ma non lo ho ancora testato. le tue recensioni sono sempre interessanti. sono contenta che tu non abbia le unghie finte, adesso tanto di moda , e se posso dire la mia, sono proprio brutte da vedere. sei bravissima come sempre.",YouTube,,,"Hi Anna, I also purchased the blush in pot no. 1, I really like it, I use the applicator to put it on the cheeks and then blend it with my hands, maybe it's a hygienic thing not to have to put my fingers inside the pot, I don't use it on the lips, then I bought the new love fusion foundation but I haven't tested it yet. your reviews are always interesting. I'm glad you don't have fake nails, which are so fashionable now, and if I may say so, they're really ugly to look at. you are great as always.",4.0,Fraud & Scam Threat
KIKO MILANO HUG COUTURE: Recensione completa,grazie mille per la tua sincerità.,YouTube,,,Thank you so much for your sincerity.,4.0,Neutral/Positive
KIKO MILANO HUG COUTURE: Recensione completa,ciao cara volevo sapere se quale primer spray fix valido tra essense o catrice....o altri con buon inci....❤,YouTube,,,"Hi dear, I wanted to know if which primer spray fix is ​​valid between Essense or Catrice....or others with good results....❤",5.0,Neutral/Positive
KIKO MILANO HUG COUTURE: Recensione completa,"il fondotinta in stick sulla mia pelle matura è tremendo : si infila in pori e rughe, e, anche settato con la polvere della stessa collezione ( molto pigmentata) , dopo circa tre ore in alcune zone è proprio sparito, mentre si accumula  nelle rughe di espressione. pessimo acquisto. peccato, perché per i primi cinque minuti ( tempo della prova in negozio) è molto bello.",YouTube,,,"the stick foundation on my mature skin is terrible: it gets into pores and wrinkles, and, even set with the powder from the same collection (very pigmented), after about three hours in some areas it really disappeared, while it accumulates in expression lines. bad purchase. It's a shame, because for the first five minutes (test time in the store) it's very nice.",3.0,Neutral/Positive
KIKO MILANO HUG COUTURE: Recensione completa,"ciao anna! grazie per questa recensione! continuo a non essere attratta dalle limited di kiko, più da alcuni prodotti in gamma permanente! ❤",YouTube,,,"hi anna! thanks for this review! I'm still not attracted to Kiko's limited ones, more so to some products in the permanent range! ❤",4.0,Neutral/Positive
KIKO MILANO HUG COUTURE: Recensione completa,kiko destinato ha chiudere... sempre vuoto... ogni tanto entro.... ma scappo via di corsa.... che brutii prodotti... che prezzi... vado alla mac  se devo....,YouTube,,,kiko destined to close... always empty... every now and then I come in.... but I run away.... what brutal products... what prices... I go to Mac if I have to....,1.0,Neutral/Positive
KIKO MILANO HUG COUTURE: Recensione completa,"ciao anna ❤ immancabile la tua review e sempre completa e dettagliata! grazie mille, il blush in pot è effettivamente il pezzo più interessante ma concordo sul prezzo eccessivo rispetto alle formule coreane. un abbraccio ❤",YouTube,,,"hi Anna ❤ your review is inevitable and always complete and detailed! thank you very much, the blush in pot is actually the most interesting piece but I agree that it is too expensive compared to Korean formulas. a hug ❤",4.0,Neutral/Positive
KIKO MILANO HUG COUTURE: Recensione completa,"ciao anna hai totalmente ragione su tutto quello che hai detto, ho visto la collezione, si i pack molto belli, ma non mi è piaciuto niente di quello che c'era, tutto visto e rivisto, sempre le solite cose e se c'è qualcosa di diverso alla fine per il prezzo non conviene, quindi dopo aver visto la tua recensione ho deciso di non comprare niente, sei di grande aiuto 😄👍❤",YouTube,,,"Hi Anna, you're totally right about everything you said, I saw the collection, yes the packs were very nice, but I didn't like anything about what was there, everything seen and seen again, always the same things and if there's something different in the end it's not worth it for the price, so after seeing your review I decided not to buy anything, you're a great help 😄👍❤",4.0,Neutral/Positive
KIKO MILANO HUG COUTURE: Recensione completa,io guardo tutti i video tuoi anche se non compro kiko da anni ormai.,YouTube,,,I watch all your videos even though I haven't bought Kiko for years now.,3.0,Neutral/Positive
KIKO MILANO HUG COUTURE: Recensione completa,"evvivaaaaaaa🎉🎉🎉🎉🎉🎉🎉🎉🎉 finalmente abbiamo il nostro bel prodotto ciofeca della collezione 😂😂😂😂😂 grazie !!! ora sto meglio 😂😂😂 al di là del gioco io anche cone te e penso come tutti compriamo sempre meno prodotti non solo di kiko ma un po ' di tutti i brand perché ormai si assomigliano tutti, hanno fatto uscire talmente tanto in poco tempo che tutto è troppo, è uguale, è inflazionato. aben vedere questi prodotti li abbiano già tutti e non siano invogliati a comprare perché nessuno ha voglia di prendere doppioni di ciò che già si possiede a prezzi triplicati.  detto ciò,  like, hyoe e un bacione , alla prossima ❤❤❤",YouTube,,,"hurray🎉🎉🎉🎉🎉🎉🎉🎉🎉 we finally have our beautiful ciofeca product from the collection 😂😂😂😂😂 thank you!!! I'm better now 😂😂😂 beyond the game I'm like you too and I think like we all buy fewer and fewer products not only from Kiko but from all the brands because now they all look alike, they've released so much in a short time that everything is too much, it's the same, it's inflated. apparently everyone already has these products and is not tempted to buy because no one wants to buy duplicates of what they already have at tripled prices.  that said, like, hyoe and a big kiss, see you next time ❤❤❤",4.0,Neutral/Positive
KIKO MILANO HUG COUTURE: Recensione completa,avevo intravisto questi nuovi blush e mi incuriosiscono molto…grazie per la recensione! le palette pure mi incuriosivano ma mi pare che abbiano ridotto molto le dimensioni dei quad per alzare i prezzi in maniera indecente…quindi doppiamente grazie per questo video!😊,YouTube,,,I had glimpsed these new blushes and I'm very curious...thanks for the review! I was also intrigued by the palettes but it seems to me that they have greatly reduced the size of the quads to raise the prices in an indecent way... so thank you doubly for this video!😊,4.0,Neutral/Positive
KIKO MILANO HUG COUTURE: Recensione completa,"ciao anna ❤ ho preso il blush come il tuo, speriamo che duri sulla mia pelle mista 😂",YouTube,,,"hi anna ❤ I got the blush like yours, let's hope it lasts on my combination skin 😂",3.0,Neutral/Positive
KIKO MILANO HUG COUTURE: Recensione completa,"questa collezione l'ho zompata allegramente, troppo plain (e io che non vedevo l'ora della fine della clean girl era, speravo in qualcosa di coloratissimo e invece... sempre sul pezzo da kiko, devo dire 😂 mannaggetty!)
quantomeno mi sono consolata con una bella palettona di cosmic brushes e con il blush liquido di mulac, quello lilla fotonico (colore bellissimo e adoro quei prodottini, sono ottimi!)",YouTube,,,"I walked through this collection happily, too plain (and I couldn't wait for the end of the clean girl era, I was hoping for something very colorful and instead... always on the kiko piece, I must say 😂 mannaggetty!)
at least I consoled myself with a nice scoop of cosmic brushes and with the mulac liquid blush, the photonic lilac one (beautiful color and I love those products, they are excellent!)",5.0,Neutral/Positive
KIKO MILANO HUG COUTURE: Recensione completa,"ora ho le idee chiarissime. sei minuziosa ed esaustiva, come sempre. credo andrò diretta ai blush in pot ❤. grazie annina, le tue recensioni sono preziose ❤",YouTube,,,"Now I have very clear ideas. you are thorough and exhaustive, as always. I think I'll go straight to the blushes in pot ❤. thank you annina, your reviews are precious ❤",4.0,Neutral/Positive
KIKO MILANO HUG COUTURE: Recensione completa,"stesse medesime considerazioni sul packaging del rossetto (anch’io ho preso lo 03): avevo resistito al my crush di pupa proprio per quanto erano ingombranti, ma questo pack di kiko leggermente più snello mi ha soddisfatto e in più la shade sembrava fatta apposta per me 😍
è sempre un piacere ascoltarti, hype per te!🫶🏻😘",YouTube,,,"same considerations on the packaging of the lipstick (I also got the 03): I had resisted my crush from pupa precisely because of how bulky they were, but this slightly slimmer Kiko pack satisfied me and what's more the shade seemed made especially for me 😍
it's always a pleasure to listen to you, hype for you!🫶🏻😘",4.0,Neutral/Positive
KIKO MILANO HUG COUTURE: Recensione completa,"ciao anna !!! le tue recensioni sono sempre top!! amando il rosa sono stata attratta da questa collezione e pensa che ho preso gli stessi prodotti che hai preso tu ovvero il blush ma quello rosa e il rossetto nella tua stessa colorazione. il rossetto è molto bello e grazie davvero per la dritta della matita che sono subito andata a prendere e ci sta benissimo. il blush sono sincera mi ha lasciata un po' perplessa perchè dalla tua recensione sembra essere durevole mentre invece quando lo metto mi sparisce subito e ne devo proprio mettere tanto perchè si veda un pochino. io avevo utilizzato il suo applicatore facendo tre pallini sul viso e poi stendendo col pennello ma ahimè non ha performato bene. proverò come hai fatto tu mettendolo sulla mano e usando un pennello a setole meno fitte, salvo che proprio cambi la performance da colore a colore ma non credo. poi siccome volevo la pochette rosa ( ne avrò tremila !!! 🤣🤣 ) ho preso gli smalti colorazione 02 ma non li ho ancora provati sulle unghie ma su un pezzo di carta bianca. sinceramente quello scuro non mi sembra proprio un topper perchè colora abbastanza e infatti mi sa che non lo sfrutterò piu di tanto ma non per il colore che non è malaccio ma per il fatto che io detesto i brillantini in generale quindi anche sulle unghie e mi da l'idea che si vedano abbastanza.  cmq sperimenterò e vediamo.  ho provato sulla mano in negozio anche il fondo di cui parlavi però per me  che sono mozzarella anche la shade piu chiara virava troppo al giallognolo e quindi nulla. il pennello sarebbe stato carino ma costa troppo e poi non so tu ma con i pennelli di kiko ho avuto pessime esperienze ovvero che perdono i peli in modo inaccettabile e non solo all'inizio che uno potrebbe dire beh è un eccesso che una volta eliminato si stabilizzano. no! continuano a perderli, nel lavello e soprattuto sulla faccia quindi non lo avrei preso anche per questo. a te è mai successo? certo c'è da dire che kiko esagera un po' sia con queste collezioni a raffica sia con i prezzi. vediamo se tra qualche giorno esce la collezione estate 2026 !!!!  🤣se esce aspetto la tua recensione ovviamente! un abbraccio e grazie. manu",YouTube,,,"hi anna!!! your reviews are always top!! loving pink I was attracted by this collection and think that I bought the same products as you, i.e. the blush but the pink one and the lipstick in the same color as you. the lipstick is very beautiful and thank you very much for the tip on the pencil which I immediately went to get and it fits perfectly. To be honest, the blush left me a little perplexed because from your review it seems to be long-lasting whereas when I put it on it disappears immediately and I really have to put a lot of it on so that it can be seen a little. I had used its applicator by making three dots on the face and then applying with the brush but unfortunately it didn't perform well. I'll try as you did by placing it on my hand and using a brush with less dense bristles, unless it really changes the performance from color to color but I don't think so. then since I wanted the pink clutch bag (I'll have three thousand!!! 🤣🤣) I got the 02 color nail polishes but I haven't tried them on my nails yet but on a piece of white paper. honestly the dark one doesn't really seem like a topper to me because it colors enough and in fact I think I won't use it too much but not because of the color which isn't too bad but because of the fact that I hate glitter in general and therefore also on the nails and it gives me the idea that it's quite visible.  Anyway I'll experiment and see.  I also tried the base you were talking about on my hand in the shop but for me, being a mozzarella person, even the lighter shade turned too yellowish and therefore nothing. the brush would have been nice but it costs too much and then I don't know about you but I've had very bad experiences with kiko brushes meaning that they shed hair in an unacceptable way and not just at the beginning which one might say well it's an excess which once eliminated stabilizes. No! they keep losing it, in the sink and especially on the face so I wouldn't have taken it for that too. has this ever happened to you? Of course, it must be said that Kiko exaggerates a bit both with these rapid-fire collections and with the prices. Let's see if the summer 2026 collection comes out in a few days!!!!  🤣if it comes out I'll obviously wait for your review! a hug and thanks. manual",3.0,Neutral/Positive
KIKO MILANO HUG COUTURE: Recensione completa,"meravigliosamente accurata e precisa come sempre, apprezzo davvero la tua dedizione a questa ""missione"" sei unica non smettere mai di recensire le collezioni kiko per noi!!",YouTube,,,"wonderfully accurate and precise as always, I really appreciate your dedication to this ""mission"" you are unique never stop reviewing kiko collections for us!!",4.0,Neutral/Positive
KIKO MILANO HUG COUTURE: Recensione completa,"sulla collezione la penso come te, non mi fa pensare per niente alla primavera e purtroppo o perfortuna non mi è piaciuto proprio niente, le palettine poi, sciapissime. comunque grazie sempre per le tue preziosissime opinioni 🥰 🥰 🥰",YouTube,,,"I think like you about the collection, it doesn't make me think of spring at all and unfortunately or fortunately I didn't like anything at all, then the palettes, very tasteless. anyway thank you always for your precious opinions 🥰 🥰 🥰",3.0,Neutral/Positive
KIKO MILANO HUG COUTURE: Recensione completa,"arrivo in ritardo, ma apprezzo molto il discorso finale. non vale solo per kiko, anche se sembra che loro ci si mettano proprio di buzzo buono a uscire ogni 3x2 con collezioni nuove, ma un po' tutti i brand ultimamente, anche indi. non se ne può più, ormai ci sfornano palette da 70€ di media l'una ogni 2/3 settimane!!! ho notato che in diverse creator stanno cominciando a chiedere ai brand di darsi una calmata 😅
comunque bravissima che non hai ceduto alla tentazione di prendere il terzo prodotto per avere la pochette gratis!! 👏🏼👏🏼👏🏼
il pennellino gommoso prova ad usarlo per gli shimmer all'angolo interno dell'occhio, io ce l'ho simile e lo uso con le formule più flaky 😊",YouTube,,,"I'm late, but I really appreciate the final speech. it doesn't just apply to kiko, even if it seems like they really try very hard to come out with new collections every 3x2, but almost all brands lately, even India. we can't stand it anymore, now they're churning out palettes for an average of €70 each every 2/3 weeks!!! I've noticed that several creators are starting to ask brands to calm down 😅
Anyway, very good that you didn't give in to the temptation to take the third product to get the free clutch bag!! 👏🏼👏🏼👏🏼
try using the rubbery brush for shimmers on the inner corner of the eye, I have a similar one and I use it with the flakiest formulas 😊",3.0,Neutral/Positive
KIKO MILANO HUG COUTURE: Recensione completa,"ciao anna grazie per la precisa recensione molto utile... ❤
risparmio 😂😂😂",YouTube,,,"Hi Anna, thank you for the precise, very useful review... ❤
savings 😂😂😂",4.0,Neutral/Positive
KIKO 3D Hydra Gloss😍🩷✨#unboxing #kikocosmetics,which shade is it?,YouTube,,,which shade is it?,3.0,Neutral/Positive
KIKO 3D Hydra Gloss😍🩷✨#unboxing #kikocosmetics,"i have  the  same  lipstick  but it  smells
like  chocolate ❤",YouTube,,,"i have  the  same  lipstick  but it  smells
like  chocolate ❤",3.0,Neutral/Positive
KIKO 3D Hydra Gloss😍🩷✨#unboxing #kikocosmetics,"ciao,che numero è il gloss?",YouTube,,,"hi, what number is the gloss?",3.0,Neutral/Positive
KIKO 3D Hydra Gloss😍🩷✨#unboxing #kikocosmetics,لطفا بگو خونه تون کجاستvery good take me pleas,YouTube,,,لطفا بگو خونه تون کجاستvery good take me pleas,5.0,Neutral/Positive
KIKO 3D Hydra Gloss😍🩷✨#unboxing #kikocosmetics,hello❤😊,YouTube,,,hello❤😊,3.0,Neutral/Positive
KIKO 3D Hydra Gloss😍🩷✨#unboxing #kikocosmetics,who remembered ang mutya ng section e kiko after hearing kiko milano assemble here😂,YouTube,,,who remembered ang mutya ng section e kiko after hearing kiko milano assemble here😂,3.0,Neutral/Positive
KIKO 3D Hydra Gloss😍🩷✨#unboxing #kikocosmetics,song name,YouTube,,,song name,3.0,Neutral/Positive
KIKO 3D Hydra Gloss😍🩷✨#unboxing #kikocosmetics,wow❤,YouTube,,,wow❤,3.0,Neutral/Positive
KIKO 3D Hydra Gloss😍🩷✨#unboxing #kikocosmetics,neciyedi?,YouTube,,,for what reason?,3.0,Neutral/Positive
KIKO 3D Hydra Gloss😍🩷✨#unboxing #kikocosmetics,22❤,YouTube,,,22❤,3.0,Neutral/Positive
KIKO 3D Hydra Gloss😍🩷✨#unboxing #kikocosmetics,17❤,YouTube,,,17❤,3.0,Neutral/Positive
KIKO 3D Hydra Gloss😍🩷✨#unboxing #kikocosmetics,it smells like watermelon?,YouTube,,,it smells like watermelon?,3.0,Neutral/Positive
KIKO 3D Hydra Gloss😍🩷✨#unboxing #kikocosmetics,girly ik this lip gloss it's the best! i have it and im so grateful  for this lip gloss❤✌🏻✨️,YouTube,,,girly ik this lip gloss it's the best! i have it and im so grateful  for this lip gloss❤✌🏻✨️,5.0,Neutral/Positive
KIKO 3D Hydra Gloss😍🩷✨#unboxing #kikocosmetics,i have that one.,YouTube,,,i have that one.,3.0,Neutral/Positive
KIKO 3D Hydra Gloss😍🩷✨#unboxing #kikocosmetics,is it scented,YouTube,,,is it scented,3.0,Neutral/Positive
KIKO 3D Hydra Gloss😍🩷✨#unboxing #kikocosmetics,i love that colour😊,YouTube,,,i love that colour😊,5.0,Neutral/Positive
KIKO 3D Hydra Gloss😍🩷✨#unboxing #kikocosmetics,beauty fulll,YouTube,,,beauty fulll,3.0,Neutral/Positive
KIKO 3D Hydra Gloss😍🩷✨#unboxing #kikocosmetics,i have this but my is from italy,YouTube,,,i have this but my is from italy,3.0,Neutral/Positive
"Once my mom finds a product she loves, she’ll never let it go🤩 #skincare #korean #glowyskin",genetics,YouTube,,,genetics,3.0,Neutral/Positive
"Once my mom finds a product she loves, she’ll never let it go🤩 #skincare #korean #glowyskin",she sad smooth liker butter remind med of bts song butter,YouTube,,,she sad smooth liker butter remind med of bts song butter,3.0,Neutral/Positive
"Once my mom finds a product she loves, she’ll never let it go🤩 #skincare #korean #glowyskin",to me her mother looks like asa from babymonster,YouTube,,,to me her mother looks like asa from babymonster,3.0,Neutral/Positive
"Once my mom finds a product she loves, she’ll never let it go🤩 #skincare #korean #glowyskin",shes also rich….are u really that out of touch?,YouTube,,,shes also rich….are u really that out of touch?,4.0,Neutral/Positive
"Once my mom finds a product she loves, she’ll never let it go🤩 #skincare #korean #glowyskin",she looks late 30's omgggggggggggggggg,YouTube,,,she looks late 30's omgggggggggggggggg,2.0,Neutral/Positive
"Once my mom finds a product she loves, she’ll never let it go🤩 #skincare #korean #glowyskin","and thousands of dollars worth of facials, laser and microneedling 😂",YouTube,,,"and thousands of dollars worth of facials, laser and microneedling 😂",4.0,Neutral/Positive
"Once my mom finds a product she loves, she’ll never let it go🤩 #skincare #korean #glowyskin",you forget the fact shes asian and has had a face lift...,YouTube,,,you forget the fact shes asian and has had a face lift...,3.0,Neutral/Positive
"Once my mom finds a product she loves, she’ll never let it go🤩 #skincare #korean #glowyskin",what?!shes 50years old?! i thought she was like 30......hehe,YouTube,,,what?!shes 50years old?! i thought she was like 30......hehe,4.0,Neutral/Positive
"Once my mom finds a product she loves, she’ll never let it go🤩 #skincare #korean #glowyskin",because she has been under the knife darling. you need to be rich to look young. i have never met a single rich woman who looks old. 😂,YouTube,,,because she has been under the knife darling. you need to be rich to look young. i have never met a single rich woman who looks old. 😂,4.0,Neutral/Positive
"Once my mom finds a product she loves, she’ll never let it go🤩 #skincare #korean #glowyskin",she's beautiful but also that can't just be her secret bobby brown cleansing oils only been around for about a decade maybe the night serum because that's been around for 40 years❤😅,YouTube,,,she's beautiful but also that can't just be her secret bobby brown cleansing oils only been around for about a decade maybe the night serum because that's been around for 40 years❤😅,4.0,Neutral/Positive
